ID,Scenario,Metodo,Gherkin (resumen),Url,Datos de prueba,Resultado esperado,Resultado (Paso/Fallo),Imagen,Imagen,
IC-01,Crear pedido con datos validos retorna 201,POST,Given OrderDto valido / When POST /orders / Then 201 y Location,http://localhost:8082/orders,"name Test Order, idUser=1",201 Created y body con state PROCESSING,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-01-create-order-201.jpg,,
IC-02,Crear pedido con name vacio retorna 400,POST,Given OrderDto invalido / When POST /orders / Then 400 con errores,http://localhost:8082/orders,"name=""""",400 Bad Request con errores,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-02-create-order-without.data.jpg,,
IC-03,Crear pedido sin idUser retorna 400,POST,Given OrderDto invalido / When POST /orders / Then 400,http://localhost:8082/orders,idUser=null,400 Bad Request,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-03-create-order-without-idUser.jpg,,
IC-04,Obtener pedido por ID existente retorna 200,GET,Given pedido id=1 existe / When GET /orders/1 / Then 200 y body,http://localhost:8082/orders/1,orderId=1,200 OK con pedido,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-04-get-order-by-id.jpg,,
IC-05,Obtener pedido por ID inexistente retorna 404,GET,Given pedido no existe / When GET /orders/999 / Then 404,http://localhost:8082/orders/999,orderId=999,404 Not Found con error,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-05-get-order-by-inexisting-id.jpg,,
IC-06,Listar pedidos activos retorna lista con mas de 3 ordenes activas,GET,Given 3 pedidos activos / When GET /orders / Then lista con 3,http://localhost:8082/orders,3 pedidos activos,"200 OK con 3 pedidos, ejecuta el llamado si hay más de 3 ordenes existentes",Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-06-get-order-3-available.jpg,,
IC-07,Listar pedidos sin datos retorna lista vacia,GET,Given sin pedidos activos / When GET /orders / Then lista vacia,http://localhost:8082/orders,sin pedidos,200 OK con lista vacia,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-07-get-only-available-orders.jpg,,
IC-08,Listar pedidos por usuario retorna filtrado,GET,Given pedidos userId=5 / When GET /orders/user/5 / Then todos idUser=5,http://localhost:8082/orders/user/5,userId=5,200 OK solo userId=5,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-08-get-order-with-existing-user.jpg,,
IC-09,Listar todos los pedidos incluye inactivos,GET,Given activos e inactivos / When GET /orders/all / Then incluye active=false,http://localhost:8082/orders/all,mezcla de pedidos,200 OK con inactivos,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-09-get-existing-and-non-existing-orders.jpg,,
IC-10,Eliminar pedido (soft-delete) retorna 204,DELETE,Given pedido id=1 / When DELETE /orders/1 / Then 204 y active=false,http://localhost:8082/orders/1,orderId=1,204 No Content,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-10-soft-delete-order.jpg,,
IC-11,Eliminar pedido inexistente retorna 404,DELETE,Given pedido no existe / When DELETE /orders/999 / Then 404,http://localhost:8082/orders/999,orderId=999,404 Not Found,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-11-soft-delete-inexisting-order.jpg,,
IC-12,Cambiar estado de pedido retorna 200,PATCH,Given pedido state PROCESSING / When PATCH /orders/1 / Then 200 y state DELIVERED,http://localhost:8082/orders/1,state=DELIVERED,200 OK y state actualizado,Paso ✅,https://github.com/Sofka-U/Diagnostico-Semana0/blob/develop/Semana%203%20-%20Actual/POSTMAN-EVIDENCES/IC-12-patch.update-order-state.jpg,,
